#start_time: 2016-10-07_15_04_23
#end_time: 2016-10-07_20_04_23
I_NUM: 5,readCnt: 6
Status:IRRI,EnableCnt:1,DisableCnt:0,ec5,a0,0.36,ec5,a1,0.34,ec5,a2,0.41
: 5,readCnt: 5
In Skip mode: SKIP_NUM: 5,readCnt: 6
Status:IRRI,EnableCnt:1,DisableCnt:0,ec5,a0,0.36,ec5,a1,0.34,ec5,a2,0.41
In Skip mode: SKIP_NUM: 5,readCnt: 1
In Skip mode: SKIP_NUM: 5,readCnt: 2
In Skip mode: SKIP_NUM: 5,readCnt: 3
In Skip mode: SKIP_NUM: 5,readCnt: 4
In Skip mode: SKIP_NUM: 5,readCnt: 5
In Skip mode: SKIP_NUM: 5,readCnt: 6
Status:IDLE,EnableCnt:0,DisableCnt:12,ec5,a0,0.32,ec5,a1,0.37,ec5,a2,0.40
Status:IDLE,EnableCnt:0,DisableCnt:13,ec5,a0,0.33,ec5,a1,0.33,ec5,a2,0.37
Status:IDLE,EnableCnt:0,DisableCnt:14,ec5,a0,0.34,ec5,a1,0.35,ec5,a2,0.38
Status:IDLE,EnableCnt:0,DisableCnt:15,ec5,a0,0.32,ec5,a1,0.37,ec5,a2,0.37
Status:IDLE,EnableCnt:0,DisableCnt:16,ec5,a0,0.35,ec5,a1,0.37,ec5,a2,0.39
Status:IDLE,EnableCnt:0,DisableCnt:17,ec5,a0,0.33,ec5,a1,0.36,ec5,a2,0.34
Status:IDLE,EnableCnt:0,DisableCnt:18,ec5,a0,0.31,ec5,a1,0.38,ec5,a2,0.38
Status:IDLE,EnableCnt:0,DisableCnt:19,ec5,a0,0.37,ec5,a1,0.32,ec5,a2,0.37
Status:IDLE,EnableCnt:0,DisableCnt:20,ec5,a0,0.32,ec5,a1,0.39,ec5,a2,0.36
Status:IDLE,EnableCnt:0,DisableCnt:21,ec5,a0,0.34,ec5,a1,0.37,ec5,a2,0.36
Status:IDLE,EnableCnt:0,DisableCnt:22,ec5,a0,0.36,ec5,a1,0.33,ec5,a2,0.34
Status:IDLE,EnableCnt:0,DisableCnt:23,ec5,a0,0.34,ec5,a1,0.35,ec5,a2,0.38
Status:IDLE,EnableCnt:0,DisableCnt:24,ec5,a0,0.35,ec5,a1,0.38,ec5,a2,0.41
Status:IDLE,EnableCnt:0,DisableCnt:25,ec5,a0,0.33,ec5,a1,0.35,ec5,a2,0.35
Status:IDLE,EnableCnt:0,DisableCnt:26,ec5,a0,0.31,ec5,a1,0.32,ec5,a2,0.36
Status:IDLE,EnableCnt:0,DisableCnt:27,ec5,a0,0.33,ec5,a1,0.32,ec5,a2,0.39
Status:IDLE,EnableCnt:0,DisableCnt:28,ec5,a0,0.35,ec5,a1,0.36,ec5,a2,0.38
Status:IDLE,EnableCnt:0,DisableCnt:29,ec5,a0,0.33,ec5,a1,0.38,ec5,a2,0.40
Status:IDLE,EnableCnt:0,DisableCnt:30,ec5,a0,0.31,ec5,a1,0.36,ec5,a2,0.37
Status:IRRI,EnableCnt:1,DisableCnt:0,ec5,a0,0.34,ec5,a1,0.37,ec5,a2,0.41
Status:IRRI,EnableCnt:2,DisableCnt:0,ec5,a0,0.35,ec5,a1,0.38,ec5,a2,0.37
Status:IRRI,EnableCnt:3,DisableCnt:0,ec5,a0,0.34,ec5,a1,0.39,ec5,a2,0.36
Status:IRRI,EnableCnt:4,DisableCnt:0,ec5,a0,0.36,ec5,a1,0.37,ec5,a2,0.35
Status:IRRI,EnableCnt:5,DisableCnt:0,ec5,a0,0.33,ec5,a1,0.35,ec5,a2,0.38
Status:IRRI,EnableCnt:6,DisableCnt:0,ec5,a0,0.33,ec5,a1,0.38,ec5,a2,0.36
Status:IRRI,EnableCnt:7,DisableCnt:0,ec5,a0,0.37,ec5,a1,0.36,ec5,a2,0.42
Status:IRRI,EnableCnt:8,DisableCnt:0,ec5,a0,0.35,ec5,a1,0.40,ec5,a2,0.35
Status:IRRI,EnableCnt:9,DisableCnt:0,ec5,a0,0.33,ec5,a1,0.36,ec5,a2,0.42
Status:IRRI,EnableCnt:10,DisableCnt:0,ec5,a0,0.37,ec5,a1,0.34,ec5,a2,0.39
Status:IRRI,EnableCnt:11,DisableCnt:0,ec5,a0,0.36,ec5,a1,0.38,ec5,a2,0.37
Status:IRRI,EnableCnt:12,DisableCnt:0,ec5,a0,0.30,ec5,a1,0.37,ec5,a2,0.37
Status:IRRI,EnableCnt:13,DisableCnt:0,ec5,a0,0.37,ec5,a1,0.33,ec5,a2,0.40
Status:IRRI,EnableCnt:14,DisableCnt:0,ec5,a0,0.30,ec5,a1,0.35,ec5,a2,0.39
Status:IRRI,EnableCnt:15,DisableCnt:0,ec5,a0,0.30,ec5,a1,0.35,ec5,a2,0.41
Status:IRRI,EnableCnt:16,DisableCnt:0,ec5,a0,0.31,ec5,a1,0.37,ec5,a2,0.36
Status:IRRI,EnableCnt:17,DisableCnt:0,ec5,a0,0.34,ec5,a1,0.37,ec5,a2,0.41
Status:IRRI,EnableCnt:18,DisableCnt:0,ec5,a0,0.35,ec5,a1,0.37,ec5,a2,0.37
Status:IRRI,EnableCnt:19,DisableCnt:0,ec5,a0,0.36,ec5,a1,0.38,ec5,a2,0.41
Status:IRRI,EnableCnt:20,DisableCnt:0,ec5,a0,0.34,ec5,a1,0.38,ec5,a2,0.38
Status:IRRI,EnableCnt:21,DisableCnt:0,ec5,a0,0.37,ec5,a1,0.36,ec5,a2,0.35
Status:IRRI,EnableCnt:22,DisableCnt:0,ec5,a0,0.37,ec5,a1,0.37,ec5,a2,0.35
Status:IRRI,EnableCnt:23,DisableCnt:0,ec5,a0,0.32,ec5,a1,0.35,ec5,a2,0.39
Status:IRRI,EnableCnt:24,DisableCnt:0,ec5,a0,0.38,ec5,a1,0.38,ec5,a2,0.38
Status:IRRI,EnableCnt:25,DisableCnt:0,ec5,a0,0.29,ec5,a1,0.32,ec5,a2,0.36
Status:IRRI,EnableCnt:26,DisableCnt:0,ec5,a0,0.31,ec5,a1,0.39,ec5,a2,0.41
